last_name|cited_name|artwork_genre|title|artist|creation_date|nationality|index|museum
Doig|Doig, Peter|drawings and watercolors|Study for Driftwood|Peter Doig|2003|Scottish|323|Carnegie Museum of Art
Davis|Davis, Stuart|drawings and watercolors|Bon Coin|Stuart Davis|1928-1929|American|326|Carnegie Museum of Art
Albers|Albers, Josef|prints|Schwarzer Kreis (Black Circle)|Josef Albers|1933|American|327|Carnegie Museum of Art
Byars|Byars, James L.|drawings and watercolors|"""Confirmation"" note with envelope"|James Lee Byars|1965|American|328|Carnegie Museum of Art
Byars|Byars, James L.|drawings and watercolors|"""Thank You"" note with envelope"|James Lee Byars|1965|American|329|Carnegie Museum of Art
Albers|Albers, Josef|prints|Homage to the Square: Wide Light|Josef Albers|1962|American|332|Carnegie Museum of Art
Albers|Albers, Josef|prints|Homage to the Square: Thaw|Josef Albers|1962|American|333|Carnegie Museum of Art
Albers|Albers, Josef|prints|Homage to the Square: Tenuous|Josef Albers|1962|American|334|Carnegie Museum of Art
Albers|Albers, Josef|prints|Homage to the Square: Equivocal|Josef Albers|1962|American|335|Carnegie Museum of Art
Albers|Albers, Josef|prints|Homage to the Square: Patina|Josef Albers|1962|American|336|Carnegie Museum of Art
Albers|Albers, Josef|prints|Homage to the Square: Full|Josef Albers|1962|American|337|Carnegie Museum of Art
Albers|Albers, Josef|prints|Homage to the Square: Shielded|Josef Albers|1962|American|338|Carnegie Museum of Art
Albers|Albers, Josef|prints|Homage to the Square: Aura|Josef Albers|1962|American|339|Carnegie Museum of Art
Albers|Albers, Josef|prints|Homage to the Square: Reserved|Josef Albers|1962|American|340|Carnegie Museum of Art
Albers|Albers, Josef|prints|Homage to the Square: Joy|Josef Albers|1962|American|341|Carnegie Museum of Art
Asahi|Asahi Masahide|prints|Dessan Magazine.  Rough Sketches (Sobyo)|Asahi Masahide|January 1926-June 1927|Japanese|417|Carnegie Museum of Art
Moore|Moore, Keiko Hiratsuka|prints|Calendar for 1976|Keiko Hiratsuka Moore|1975-1976|American|425|Carnegie Museum of Art
Richter|Richter, Gerhard|drawings and watercolors|20. Jan. 1990|Gerhard Richter|1990|German|442|Carnegie Museum of Art
Buckley|Buckley, Stephen|drawings and watercolors|(no title) from the September Suite|Stephen Buckley|1977|British|443|Carnegie Museum of Art
Hoyland|Hoyland, John|prints|(Untitled)|John Hoyland|1981|English|444|Carnegie Museum of Art
Ladd|Ladd, Tracey|sculpture|Apex|Tracey Ladd|2001|American|519|Carnegie Museum of Art
Murray|Murray, Elizabeth|prints|Body & Soul|Elizabeth Murray|2001|American|526|Carnegie Museum of Art
unknown|unknown English|sculpture|Virgin and Child|unknown English|14th-15th century|English|527|Carnegie Museum of Art
Saitô|Saitô Kiyoshi|prints|The Honen Temple in Snow , Kyoto (Yuki no Hônenin, Kyôto)|Saitô Kiyoshi|1968|Japanese|528|Carnegie Museum of Art
Saitô|Saitô Kiyoshi|prints|The Muroji Temple in Snow, Nara (Yuki no Murôji, Nara)|Saitô Kiyoshi|1968|Japanese|529|Carnegie Museum of Art
Asano|Asano Takeji|prints|Rainy Day (Ame no hi B)|Asano Takeji|1968|Japanese|530|Carnegie Museum of Art
Gerzso|Gerzso, Gunther|prints|Untitled|Gunther Gerzso|1980|Mexican|532|Carnegie Museum of Art
Brock|Brock, Emily|sculpture|A Good Vintage|Emily Brock|1997|American|535|Carnegie Museum of Art
Bubacco|Bubacco, Lucio|sculpture|Carnival on the Grand Canal|Lucio Bubacco|1995|Italian|536|Carnegie Museum of Art
Spencer|Spencer, Jeffrey|sculpture|Can't Keep me in a Box|Jeffrey Spencer|<blank>|American|540|Carnegie Museum of Art
Toffolo|Toffolo, Cesare|sculpture|Amphora|Cesare Toffolo|1980-2003|Italian|541|Carnegie Museum of Art
Bell|Bell, Nikki|sculpture|The British Museum|Nikki Bell|1987|British|593|Carnegie Museum of Art
Sotter|Sotter, George W.|paintings|Six Views of St. Paul's Cathedral, Pittsburgh, in Six Different Lights|George W. Sotter|1919-1920|American|594|Carnegie Museum of Art
Tiepolo|Tiepolo, Giovanni B.|prints|Two Soldiers and Two Women|Giovanni Battista Tiepolo|c. 1743-1749|Italian|597|Carnegie Museum of Art
Tiepolo|Tiepolo, Giovanni B.|prints|The Astrologer and the Young Soldier|Giovanni Battista Tiepolo|c. 1743-1749|Italian|599|Carnegie Museum of Art
Tiepolo|Tiepolo, Giovanni B.|prints|Death Giving an Audience|Giovanni Battista Tiepolo|c. 1743-1749|Italian|600|Carnegie Museum of Art
Tiepolo|Tiepolo, Giovanni B.|prints|Standing Philosopher|Giovanni Battista Tiepolo|c. 1743-1749|Italian|601|Carnegie Museum of Art
Tiepolo|Tiepolo, Giovanni B.|prints|Three Soldiers and a Boy|Giovanni Battista Tiepolo|c. 1743-1749|Italian|602|Carnegie Museum of Art
Tiepolo|Tiepolo, Giovanni B.|prints|The Rider Standing Beside His Horse|Giovanni Battista Tiepolo|c. 1743-1749|Italian|603|Carnegie Museum of Art
Tiepolo|Tiepolo, Giovanni B.|prints|A Nymph with a Small Satyr and Two Goats|Giovanni Battista Tiepolo|c. 1743-1749|Italian|604|Carnegie Museum of Art
Tiepolo|Tiepolo, Giovanni B.|prints|A Woman with her Arms in Chains and Four Other Figures|Giovanni Battista Tiepolo|c. 1743-1749|Italian|605|Carnegie Museum of Art
Tiepolo|Tiepolo, Giovanni B.|prints|A Woman with her Hands on a Vase, a Soldier and a Slave|Giovanni Battista Tiepolo|c. 1743-1749|Italian|606|Carnegie Museum of Art
Schnyder|Schnyder, Jean-Frédéric|paintings|Gürbmatt|Jean-Frédéric Schnyder|11/7/1990|Swiss|611|Carnegie Museum of Art
Winberg|Winberg, John Y.|drawings and watercolors|Untitled|John Y. Winberg|2003|American|612|Carnegie Museum of Art
Lakra|Lakra|drawings and watercolors|Untitled (Neiges Fourreres)|Dr. Lakra|2003|Mexican|618|Carnegie Museum of Art
Lakra|Lakra|drawings and watercolors|Untitled (Paris et de Hollywood)|Dr. Lakra|2003|Mexican|619|Carnegie Museum of Art
Blaschka|Blaschka, Leopold|sculpture|Anemone on sea worm tube|Leopold Blaschka|c. 1880-1890|German|626|Carnegie Museum of Art
Fromboluti|Fromboluti, Sideo|paintings|Reflections on Patience Pond|Sideo Fromboluti|2002|American|635|Carnegie Museum of Art
Rondinone|Rondinone, Ugo|drawings and watercolors|No. 249 EINUNDZWANZIGSTERSEPTEMBERZWEITAUSENDUNDEINS|Ugo Rondinone|2001|Swiss|637|Carnegie Museum of Art
Grotjahn|Grotjahn, Mark|paintings|Untitled (Red Butterfly Over Green)|Mark Grotjahn|2003|American|638|Carnegie Museum of Art
Shapiro|Shapiro, Joel|drawings and watercolors|Untitled|Joel Shapiro|1975|American|639|Carnegie Museum of Art
Sugarman|Sugarman, George|sculpture|Six Forms in Pine|George Sugarman|1959|American|640|Carnegie Museum of Art
Sorine|Sorine, Savely|drawings and watercolors|(Young Woman Knitting)|Savely Sorine|1934|Russian|642|Carnegie Museum of Art
Ghisi|Ghisi, Giorgio|prints|Allegory of Life (The Dream of Raphael)|Giorgio Ghisi|1561|Italian|646|Carnegie Museum of Art
Chillida|Chillida, Eduardo|prints|Untitled|Eduardo Chillida|c. 1979|Spanish|650|Carnegie Museum of Art
Koerner|Koerner, Henry|drawings and watercolors|Panther Hollow, Pittsburgh|Henry Koerner|mid-20th century|American|651|Carnegie Museum of Art
Phillips|Phillips, Peter|prints|Hunter|Peter Phillips|1975|English|652|Carnegie Museum of Art
Contis|Contis, Peter|drawings and watercolors|Three Rivers|Peter Contis|c. 1970|American|757|Carnegie Museum of Art
Contis|Contis, Peter|drawings and watercolors|Untitled|Peter Contis|1972|American|758|Carnegie Museum of Art
Contis|Contis, Helen|paintings|Schenley Park|Helen Contis|c. 1980s|American|759|Carnegie Museum of Art
Siza|Siza, Álvaro|drawings and watercolors|Sketch - Bird's-eye view of Galician Center of Contemporary Art, Santiago de Compostela, Spain|Álvaro Siza|1992|Portuguese|810|Carnegie Museum of Art
Siza|Siza, Álvaro|drawings and watercolors|Sketch - Worm's-eye view of Galician Center of Contemporary Art, Santiago de Compostela, Spain|Álvaro Siza|1991|Portuguese|811|Carnegie Museum of Art
Thiebaud|Thiebaud, Wayne|paintings|Table Setting|Wayne Thiebaud|1961|American|813|Carnegie Museum of Art
Blaschka|Blaschka, Leopold|sculpture|Colonial jellyfish (Discalia medusina) x 8|Leopold Blaschka|c. 1880-1890|German|822|Carnegie Museum of Art
Blaschka|Blaschka, Leopold|sculpture|Bell-shaped jellyfish|Leopold Blaschka|c. 1880-1890|German|823|Carnegie Museum of Art
Blaschka|Blaschka, Leopold|sculpture|Attached (colonial) jellyfish (Campanulina tenuis) x 30|Leopold Blaschka|c. 1880-1890|German|825|Carnegie Museum of Art
Blaschka|Blaschka, Leopold|sculpture|Bell-shaped jellyfish|Leopold Blaschka|c. 1880-1890|German|827|Carnegie Museum of Art
Blaschka|Blaschka, Rudolf|sculpture|Dandelion-shaped sea creature [species of glass sponge]|Rudolf Blaschka|c. 1899-1905|German|828|Carnegie Museum of Art
Nengudi|Nengudi, Senga|sculpture|R.S.V.P. XI|Senga Nengudi|1977/2004|American|829|Carnegie Museum of Art
De Keyser|De Keyser, Raoul|paintings|Untitled|Raoul De Keyser|2002|Belgian|837|Carnegie Museum of Art
Rothschild|Rothschild, Eva|prints|Lighter Later|Eva Rothschild|2003|Irish|838|Carnegie Museum of Art
Crumb|Crumb, Robert|drawings and watercolors|Fanny and Joe|Robert Crumb|2003|American|839|Carnegie Museum of Art
Kuitca|Kuitca, Guillermo|drawings and watercolors|Bayreuth Festspielhaus|Guillermo Kuitca|2003|Argentine|840|Carnegie Museum of Art
Newell|Newell, Hugh|paintings|Shade Furnace|Hugh Newell|1879|American|842|Carnegie Museum of Art
Mangelos|Mangelos (Dimitrije Basicevic)|sculpture|Manifesto on the machine no. 2|Mangelos (Dimitrije Basicevic)|c. 1977-1978|Croatian|851|Carnegie Museum of Art
Chu|Chu, Anne|sculpture|Nine Hellish Spirits: No. 2|Anne Chu|2004|American|862|Carnegie Museum of Art
Genzken|Genzken, Isa|sculpture|Empire/Vampire III, #1|Isa Genzken|2004|German|868|Carnegie Museum of Art
Mehretu|Mehretu, Julie|paintings|Stadia II|Julie Mehretu|2004|American|870|Carnegie Museum of Art
Pearlstein|Pearlstein, Philip|paintings|Sepik River Triptych|Philip Pearlstein|1995|American|886|Carnegie Museum of Art
Zucker|Zucker, Joe|paintings|Triassic Jurassic|Joe Zucker|1977|American|887|Carnegie Museum of Art
