last_name,cited_name,classification,title,full_name,creation_date,nationality,index
Gibson,"Gibson, Robert W.",drawings and watercolors,"Office Building for the United States Trust Company, New York, NY; [exterior elevation]",Robert W. Gibson,1901,American,6584
Gibson,"Gibson, Robert W.",drawings and watercolors,"Office Building for the United States Trust Company, New York, NY; [lettering]",Robert W. Gibson,1901,American,6585
Glisseman,"Glisseman, Harrison",drawings and watercolors,Building; [exterior perspective],Harrison Glisseman,1925,American,6586
True,"True, Clarence & Son (Architects & Engineers)",drawings and watercolors,House; [exterior elevation],Clarence True & Son (Architects & Engineers),19th-20th century,American,6587
Walker,Walker & Kimball Architects,drawings and watercolors,"School, Hopedale, MA; [exterior perspective]",Walker & Kimball Architects,19th-20th century,American,6588
Walker,Walker & Kimball Architects,drawings and watercolors,"School, Hopedale, MA; [exterior elevation]",Walker & Kimball Architects,19th-20th century,American,6589
Walker,Walker & Kimball Architects,drawings and watercolors,"School, Hopedale, MA; [exterior elevation]",Walker & Kimball Architects,19th-20th century,American,6590
Walker,Walker & Kimball Architects,drawings and watercolors,"School, Hopedale, MA; [floor plan]",Walker & Kimball Architects,19th-20th century,American,6591
Walker,Walker & Kimball Architects,drawings and watercolors,"School, Hopedale, MA; [floor plan]",Walker & Kimball Architects,19th-20th century,American,6592
Walker,Walker & Kimball Architects,drawings and watercolors,"School, Hopedale, MA; [floor plan]",Walker & Kimball Architects,19th-20th century,American,6593
Walker,Walker & Kimball Architects,drawings and watercolors,"School, Hopedale, MA; [floor plan]",Walker & Kimball Architects,19th-20th century,American,6594
Cook,"Cook, Robert A.",drawings and watercolors,House; [exterior elevations],Robert Allen Cook,1899,American,6595
Cook,"Cook, Robert A.",drawings and watercolors,House; [floor plan],Robert Allen Cook,1899,American,6596
Cook,"Cook, Robert A.",drawings and watercolors,House; [exterior elevations],Robert Allen Cook,1899,American,6597
Cook,"Cook, Robert A.",drawings and watercolors,House; [floor plans],Robert Allen Cook,1899,American,6598
Cook,"Cook, Robert A.",drawings and watercolors,Double House; [floor plans],Robert Allen Cook,1899,American,6599
Cook,"Cook, Robert A.",drawings and watercolors,House for Mr. J. J. Conners; [floor plans],Robert Allen Cook,1899,American,6600
Nutt,"Nutt, Jim",prints,oh! my goodness (no no),Jim Nutt,1977,American,6602
Nutt,"Nutt, Jim",prints,yoo hoo -- little boy,Jim Nutt,1977,American,6603
Nutt,"Nutt, Jim",prints,I'm not stopping,Jim Nutt,1977,American,6604
Nutt,"Nutt, Jim",prints,Your so course (tish tish),Jim Nutt,1977,American,6605
Poons,"Poons, Larry",paintings,Untitled No. 26,Larry Poons,1973,American,6606
Rockburne,"Rockburne, Dorothea",paintings,Ivory Black,Dorothea Rockburne,1966-1967,American,6607
Arneson,"Arneson, Robert",sculpture,Trophies,Robert Arneson,1976,American,6608
Haring,"Haring, Keith",paintings,Untitled,Keith Haring,1981,American,6611
Humphrey,"Humphrey, Ralph",paintings,To Fritz Lang,Ralph Humphrey,1970,American,6612
Jensen,"Jensen, Bill",drawings and watercolors,Untitled,Bill Jensen,1978,American,6613
Miller,"Miller, John M.",paintings,Number 62,John M. Miller,1987,American,6614
Morris,"Morris, Robert",sculpture,Untitled,Robert Morris,1964,American,6615
Munoz,"Munoz, Celia",sculpture,Ella y El (Referentes 1),Celia Munoz,1988,American,6616
BLPRA,BLPRA Architects,drawings and watercolors,"The Piers Project, Pittsburgh: Map Object","BLPRA Architects (Paul Rosenblatt and Bruce Lindsey, partners)",1991,American,6634
BLPRA,BLPRA Architects,drawings and watercolors,"The Piers Project, Pittsburgh: River Object","BLPRA Architects (Paul Rosenblatt and Bruce Lindsey, partners)",1991,American,6635
BLPRA,BLPRA Architects,drawings and watercolors,"The Piers Project, Pittsburgh: Pedestrian Bridge","BLPRA Architects (Paul Rosenblatt and Bruce Lindsey, partners)",1991,American,6636
BLPRA,BLPRA Architects,drawings and watercolors,"The Piers Project, Pittsburgh: Steel Object","BLPRA Architects (Paul Rosenblatt and Bruce Lindsey, partners)",1991,American,6637
